image_path,label
dataset/real\beef_carpaccio\3658839.jpg,1
dataset/real\seaweed_salad\89991.jpg,1
dataset/real\pork_chop\72170.jpg,1
dataset/fake\takoyaki\685493.jpg,0
dataset/fake\omelette\753473.jpg,0
dataset/fake\hot_dog\910827.jpg,0
dataset/real\scallops\661653.jpg,1
dataset/fake\french_fries\854901.jpg,0
dataset/fake\carrot_cake\722121.jpg,0
dataset/fake\sushi\96680.jpg,0
dataset/real\shrimp_and_grits\935610.jpg,1
dataset/fake\chicken_curry\2600288.jpg,0
dataset/real\beet_salad\1380319.jpg,1
dataset/fake\falafel\930442.jpg,0
dataset/real\beet_salad\3331610.jpg,1
dataset/fake\french_fries\859412.jpg,0
dataset/fake\ravioli\774779.jpg,0
dataset/real\hummus\882287.jpg,1
dataset/real\cannoli\3434673.jpg,1
dataset/fake\greek_salad\74066.jpg,0
dataset/fake\grilled_cheese_sandwich\767715.jpg,0
dataset/fake\pad_thai\90566.jpg,0
dataset/real\nachos\62094.jpg,1
dataset/fake\spring_rolls\688731.jpg,0
dataset/fake\fish_and_chips\2716580.jpg,0
dataset/fake\onion_rings\746144.jpg,0
dataset/fake\bibimbap\658380.jpg,0
dataset/real\guacamole\871818.jpg,1
dataset/fake\caesar_salad\3686850.jpg,0
dataset/fake\risotto\691147.jpg,0
dataset/fake\frozen_yogurt\75792.jpg,0
dataset/real\shrimp_and_grits\916436.jpg,1
dataset/real\grilled_salmon\955438.jpg,1
dataset/real\takoyaki\676990.jpg,1
dataset/fake\guacamole\85398.jpg,0
dataset/fake\samosa\782181.jpg,0
dataset/real\sushi\902214.jpg,1
dataset/real\french_toast\77447.jpg,1
dataset/fake\oysters\882316.jpg,0
dataset/fake\pizza\61822.jpg,0
dataset/real\cannoli\1418734.jpg,1
dataset/real\chocolate_mousse\850946.jpg,1
dataset/real\pad_thai\90566.jpg,1
dataset/real\chocolate_cake\106203.jpg,1
dataset/real\sushi\918053.jpg,1
dataset/real\samosa\787023.jpg,1
dataset/real\oysters\89248.jpg,1
dataset/real\creme_brulee\893341.jpg,1
dataset/fake\beef_carpaccio\217698.jpg,0
dataset/real\lobster_roll_sandwich\96654.jpg,1
dataset/real\macaroni_and_cheese\84721.jpg,1
dataset/real\apple_pie\3833386.jpg,1
dataset/fake\seaweed_salad\598811.jpg,0
dataset/fake\deviled_eggs\92324.jpg,0
dataset/real\cannoli\992416.jpg,1
dataset/fake\frozen_yogurt\62048.jpg,0
dataset/fake\club_sandwich\863416.jpg,0
dataset/real\pho\996595.jpg,1
dataset/real\macaroni_and_cheese\650141.jpg,1
dataset/fake\filet_mignon\852247.jpg,0
dataset/fake\gyoza\711836.jpg,0
dataset/real\prime_rib\90923.jpg,1
dataset/fake\spaghetti_carbonara\689867.jpg,0
dataset/fake\dumplings\83315.jpg,0
dataset/real\greek_salad\995049.jpg,1
dataset/real\hot_dog\910827.jpg,1
dataset/real\onion_rings\83644.jpg,1
dataset/real\hummus\94850.jpg,1
dataset/real\shrimp_and_grits\918384.jpg,1
dataset/fake\pulled_pork_sandwich\949739.jpg,0
dataset/fake\chocolate_mousse\896003.jpg,0
dataset/fake\risotto\717314.jpg,0
dataset/real\filet_mignon\868859.jpg,1
dataset/real\gnocchi\783026.jpg,1
dataset/real\tacos\87767.jpg,1
dataset/fake\bibimbap\182650.jpg,0
dataset/real\tiramisu\82628.jpg,1
dataset/fake\cheese_plate\3091366.jpg,0
dataset/real\carrot_cake\1046933.jpg,1
dataset/fake\onion_rings\93684.jpg,0
dataset/real\breakfast_burrito\1098858.jpg,1
dataset/real\chocolate_mousse\891547.jpg,1
dataset/fake\ceviche\2060023.jpg,0
dataset/fake\sushi\902214.jpg,0
dataset/fake\pork_chop\64079.jpg,0
dataset/fake\beef_tartare\3001672.jpg,0
dataset/real\tuna_tartare\781885.jpg,1
dataset/real\spaghetti_carbonara\677949.jpg,1
dataset/fake\chicken_curry\3909329.jpg,0
dataset/fake\spaghetti_bolognese\86424.jpg,0
dataset/fake\bibimbap\1747113.jpg,0
dataset/real\frozen_yogurt\94855.jpg,1
dataset/fake\chicken_wings\2054901.jpg,0
dataset/fake\beet_salad\1003501.jpg,0
dataset/real\tuna_tartare\92453.jpg,1
dataset/real\hummus\878537.jpg,1
dataset/fake\creme_brulee\935865.jpg,0
dataset/fake\lasagna\806706.jpg,0
dataset/fake\tacos\896949.jpg,0
dataset/fake\spaghetti_carbonara\732412.jpg,0
dataset/fake\scallops\659150.jpg,0
dataset/fake\beef_tartare\39858.jpg,0
dataset/fake\mussels\605254.jpg,0
dataset/fake\falafel\992378.jpg,0
dataset/fake\huevos_rancheros\917566.jpg,0
dataset/real\dumplings\840855.jpg,1
dataset/fake\garlic_bread\88681.jpg,0
dataset/real\spring_rolls\90116.jpg,1
dataset/real\garlic_bread\799801.jpg,1
dataset/fake\guacamole\86180.jpg,0
dataset/fake\french_onion_soup\741785.jpg,0
dataset/fake\takoyaki\686111.jpg,0
dataset/fake\macaroni_and_cheese\6888.jpg,0
dataset/fake\spring_rolls\688513.jpg,0
dataset/fake\waffles\77990.jpg,0
dataset/real\baklava\3078639.jpg,1
dataset/fake\samosa\801746.jpg,0
dataset/real\steak\66858.jpg,1
dataset/fake\gyoza\703218.jpg,0
dataset/real\ceviche\1919573.jpg,1
dataset/real\cup_cakes\70625.jpg,1
dataset/real\tuna_tartare\99979.jpg,1
dataset/real\french_fries\847042.jpg,1
dataset/real\pizza\68684.jpg,1
dataset/fake\crab_cakes\932886.jpg,0
dataset/fake\hot_and_sour_soup\61920.jpg,0
dataset/fake\pizza\99604.jpg,0
dataset/fake\spaghetti_bolognese\864135.jpg,0
dataset/real\crab_cakes\99114.jpg,1
dataset/fake\cheese_plate\250945.jpg,0
dataset/fake\onion_rings\98200.jpg,0
dataset/real\french_fries\848492.jpg,1
dataset/real\escargots\88877.jpg,1
dataset/fake\spaghetti_carbonara\677949.jpg,0
dataset/fake\spaghetti_carbonara\675898.jpg,0
dataset/fake\baklava\295863.jpg,0
dataset/real\spring_rolls\78171.jpg,1
dataset/real\huevos_rancheros\935838.jpg,1
dataset/fake\shrimp_and_grits\939523.jpg,0
dataset/fake\nachos\81821.jpg,0
dataset/fake\spaghetti_bolognese\78546.jpg,0
dataset/real\panna_cotta\7023.jpg,1
dataset/real\garlic_bread\77925.jpg,1
dataset/real\tiramisu\521895.jpg,1
dataset/fake\prime_rib\815266.jpg,0
dataset/real\tacos\846311.jpg,1
dataset/real\poutine\913823.jpg,1
dataset/real\onion_rings\85376.jpg,1
dataset/real\pad_thai\727089.jpg,1
dataset/fake\breakfast_burrito\1523896.jpg,0
dataset/fake\scallops\661684.jpg,0
dataset/fake\peking_duck\70601.jpg,0
dataset/real\beignets\3034743.jpg,1
dataset/real\poutine\916691.jpg,1
dataset/fake\ice_cream\900935.jpg,0
dataset/real\frozen_yogurt\77987.jpg,1
dataset/real\pulled_pork_sandwich\936404.jpg,1
dataset/fake\baklava\1482317.jpg,0
dataset/fake\bread_pudding\1251722.jpg,0
dataset/fake\croque_madame\82322.jpg,0
dataset/real\macaroni_and_cheese\696983.jpg,1
dataset/real\croque_madame\986297.jpg,1
dataset/real\croque_madame\997233.jpg,1
dataset/real\bread_pudding\2376972.jpg,1
dataset/fake\lobster_bisque\868207.jpg,0
dataset/real\prime_rib\867112.jpg,1
dataset/real\fried_rice\523116.jpg,1
dataset/real\hot_dog\935952.jpg,1
dataset/real\prime_rib\92128.jpg,1
dataset/real\samosa\848468.jpg,1
dataset/real\mussels\74433.jpg,1
dataset/real\escargots\525348.jpg,1
dataset/fake\shrimp_and_grits\967122.jpg,0
dataset/fake\hot_and_sour_soup\70230.jpg,0
dataset/fake\falafel\949664.jpg,0
dataset/fake\ramen\9029.jpg,0
dataset/fake\samosa\816846.jpg,0
dataset/fake\tiramisu\442915.jpg,0
dataset/fake\foie_gras\576688.jpg,0
dataset/real\chicken_quesadilla\2897666.jpg,1
dataset/fake\chicken_curry\70091.jpg,0
dataset/real\poutine\945614.jpg,1
dataset/real\foie_gras\65222.jpg,1
dataset/real\french_fries\850387.jpg,1
dataset/fake\cup_cakes\84010.jpg,0
dataset/real\tiramisu\6032.jpg,1
dataset/real\risotto\8586.jpg,1
dataset/real\bibimbap\658380.jpg,1
dataset/fake\dumplings\855226.jpg,0
dataset/fake\grilled_salmon\945443.jpg,0
dataset/real\crab_cakes\921560.jpg,1
dataset/real\foie_gras\59910.jpg,1
dataset/real\creme_brulee\901303.jpg,1
dataset/fake\chocolate_mousse\98925.jpg,0
dataset/real\filet_mignon\87815.jpg,1
dataset/fake\strawberry_shortcake\97738.jpg,0
dataset/real\shrimp_and_grits\919726.jpg,1
dataset/fake\tacos\912020.jpg,0
dataset/fake\french_onion_soup\77894.jpg,0
dataset/real\lobster_roll_sandwich\9253.jpg,1
dataset/real\foie_gras\69329.jpg,1
dataset/real\strawberry_shortcake\97240.jpg,1
dataset/fake\ice_cream\921978.jpg,0
dataset/real\risotto\74799.jpg,1
dataset/real\edamame\771281.jpg,1
dataset/real\lobster_bisque\820485.jpg,1
dataset/real\red_velvet_cake\97406.jpg,1
dataset/real\strawberry_shortcake\67030.jpg,1
dataset/fake\prime_rib\9547.jpg,0
dataset/real\takoyaki\684789.jpg,1
dataset/real\spring_rolls\85452.jpg,1
dataset/fake\chicken_wings\1509959.jpg,0
dataset/fake\grilled_cheese_sandwich\782130.jpg,0
dataset/real\hot_and_sour_soup\70230.jpg,1
dataset/fake\filet_mignon\867003.jpg,0
dataset/real\lobster_roll_sandwich\91688.jpg,1
dataset/fake\foie_gras\80086.jpg,0
dataset/fake\lasagna\769760.jpg,0
dataset/real\gnocchi\760083.jpg,1
dataset/real\hot_and_sour_soup\617836.jpg,1
dataset/real\grilled_cheese_sandwich\795142.jpg,1
dataset/real\strawberry_shortcake\58388.jpg,1
dataset/real\grilled_salmon\922858.jpg,1
dataset/fake\miso_soup\860267.jpg,0
dataset/fake\poutine\938903.jpg,0
dataset/real\ice_cream\892598.jpg,1
dataset/real\huevos_rancheros\944587.jpg,1
dataset/real\samosa\801746.jpg,1
dataset/real\garlic_bread\789798.jpg,1
dataset/real\breakfast_burrito\1669932.jpg,1
dataset/real\french_toast\99857.jpg,1
dataset/real\tacos\85137.jpg,1
dataset/fake\huevos_rancheros\935838.jpg,0
dataset/real\poutine\863682.jpg,1
dataset/fake\chicken_wings\2349384.jpg,0
dataset/fake\hummus\94850.jpg,0
dataset/real\hamburger\730040.jpg,1
dataset/fake\risotto\713431.jpg,0
dataset/fake\pulled_pork_sandwich\971783.jpg,0
dataset/real\churros\884571.jpg,1
dataset/fake\greek_salad\995049.jpg,0
dataset/fake\bread_pudding\1196712.jpg,0
dataset/real\fried_rice\73525.jpg,1
dataset/fake\caesar_salad\301116.jpg,0
dataset/fake\edamame\97859.jpg,0
dataset/fake\bibimbap\725805.jpg,0
dataset/fake\chicken_quesadilla\3466414.jpg,0
dataset/fake\fish_and_chips\3748224.jpg,0
dataset/real\deviled_eggs\640422.jpg,1
dataset/fake\omelette\812242.jpg,0
dataset/fake\hot_dog\935952.jpg,0
dataset/fake\french_fries\82535.jpg,0
dataset/fake\lobster_bisque\829123.jpg,0
dataset/real\donuts\774254.jpg,1
dataset/fake\bread_pudding\2945251.jpg,0
dataset/real\ceviche\3276987.jpg,1
dataset/fake\takoyaki\684789.jpg,0
dataset/real\red_velvet_cake\6172.jpg,1
dataset/real\spaghetti_bolognese\805225.jpg,1
dataset/real\greek_salad\83665.jpg,1
dataset/fake\apple_pie\2819375.jpg,0
dataset/fake\croque_madame\997233.jpg,0
dataset/real\red_velvet_cake\95638.jpg,1
dataset/fake\french_fries\854381.jpg,0
dataset/real\caesar_salad\1158195.jpg,1
dataset/real\sashimi\749651.jpg,1
dataset/fake\carrot_cake\2280491.jpg,0
dataset/fake\caprese_salad\3479013.jpg,0
dataset/fake\breakfast_burrito\1388464.jpg,0
dataset/real\spaghetti_carbonara\710050.jpg,1
dataset/fake\greek_salad\961722.jpg,0
dataset/real\chicken_quesadilla\1539179.jpg,1
dataset/real\ceviche\3046608.jpg,1
dataset/fake\scallops\67010.jpg,0
dataset/real\breakfast_burrito\514317.jpg,1
dataset/real\edamame\745235.jpg,1
dataset/fake\apple_pie\2751755.jpg,0
dataset/fake\garlic_bread\827275.jpg,0
dataset/real\lobster_roll_sandwich\90373.jpg,1
dataset/fake\grilled_salmon\953784.jpg,0
dataset/real\hummus\872615.jpg,1
dataset/real\hot_dog\94430.jpg,1
dataset/real\grilled_salmon\905077.jpg,1
dataset/fake\dumplings\840855.jpg,0
dataset/fake\guacamole\878151.jpg,0
dataset/real\bread_pudding\1420072.jpg,1
dataset/fake\ramen\674178.jpg,0
dataset/real\hot_and_sour_soup\615327.jpg,1
dataset/real\ice_cream\891533.jpg,1
dataset/fake\deviled_eggs\649743.jpg,0
dataset/real\breakfast_burrito\2771420.jpg,1
dataset/fake\seaweed_salad\60390.jpg,0
dataset/real\beef_carpaccio\1371174.jpg,1
dataset/fake\baby_back_ribs\1615155.jpg,0
dataset/real\oysters\97263.jpg,1
dataset/real\steak\653303.jpg,1
dataset/fake\ravioli\806495.jpg,0
dataset/real\cheesecake\3296063.jpg,1
dataset/real\macaroni_and_cheese\6888.jpg,1
dataset/fake\ravioli\756650.jpg,0
dataset/fake\churros\937430.jpg,0
dataset/real\french_onion_soup\741785.jpg,1
dataset/fake\fried_calamari\650796.jpg,0
dataset/real\ceviche\127492.jpg,1
dataset/real\tuna_tartare\91163.jpg,1
dataset/fake\fried_calamari\64100.jpg,0
dataset/fake\pho\966806.jpg,0
dataset/real\creme_brulee\93244.jpg,1
dataset/real\pulled_pork_sandwich\968646.jpg,1
dataset/real\fried_rice\61692.jpg,1
dataset/fake\gyoza\82426.jpg,0
dataset/real\lobster_bisque\782974.jpg,1
dataset/fake\dumplings\848018.jpg,0
dataset/fake\sashimi\751929.jpg,0
dataset/fake\falafel\9787.jpg,0
dataset/fake\shrimp_and_grits\950325.jpg,0
dataset/fake\risotto\73975.jpg,0
dataset/fake\chocolate_cake\2029248.jpg,0
dataset/real\crab_cakes\938063.jpg,1
dataset/real\cup_cakes\9193.jpg,1
dataset/fake\breakfast_burrito\537375.jpg,0
dataset/real\pulled_pork_sandwich\64443.jpg,1
dataset/real\hot_and_sour_soup\80443.jpg,1
dataset/real\pho\926.jpg,1
dataset/real\lobster_roll_sandwich\96366.jpg,1
dataset/real\cup_cakes\71410.jpg,1
dataset/real\hamburger\81813.jpg,1
dataset/real\hummus\871829.jpg,1
dataset/real\fish_and_chips\2501991.jpg,1
dataset/real\beet_salad\1372465.jpg,1
dataset/real\pho\966806.jpg,1
dataset/fake\nachos\93041.jpg,0
dataset/fake\chicken_quesadilla\3831010.jpg,0
dataset/fake\takoyaki\85593.jpg,0
dataset/real\pancakes\83395.jpg,1
dataset/fake\garlic_bread\789798.jpg,0
dataset/real\beef_carpaccio\2250170.jpg,1
dataset/fake\croque_madame\7210.jpg,0
dataset/fake\eggs_benedict\992871.jpg,0
dataset/real\foie_gras\71445.jpg,1
dataset/real\beef_tartare\3661251.jpg,1
dataset/fake\waffles\87930.jpg,0
dataset/fake\peking_duck\82053.jpg,0
dataset/fake\sushi\900178.jpg,0
dataset/fake\poutine\9252.jpg,0
dataset/fake\pizza\72716.jpg,0
dataset/real\tuna_tartare\92149.jpg,1
dataset/real\oysters\933713.jpg,1
dataset/fake\scallops\66442.jpg,0
dataset/fake\edamame\77335.jpg,0
dataset/fake\pad_thai\89859.jpg,0
dataset/fake\ice_cream\918359.jpg,0
dataset/fake\bruschetta\3056362.jpg,0
dataset/real\hamburger\73340.jpg,1
dataset/fake\escargots\51543.jpg,0
dataset/fake\club_sandwich\865174.jpg,0
dataset/fake\pho\59788.jpg,0
dataset/real\fried_rice\62436.jpg,1
dataset/real\pizza\8917.jpg,1
dataset/real\filet_mignon\90376.jpg,1
dataset/fake\steak\6926.jpg,0
dataset/real\chicken_curry\3909329.jpg,1
dataset/real\fish_and_chips\3780634.jpg,1
dataset/real\cannoli\1262807.jpg,1
dataset/real\chocolate_mousse\899470.jpg,1
dataset/real\frozen_yogurt\624563.jpg,1
dataset/fake\deviled_eggs\634360.jpg,0
dataset/fake\omelette\766716.jpg,0
dataset/fake\waffles\97567.jpg,0
dataset/real\pancakes\83414.jpg,1
dataset/real\ramen\69211.jpg,1
dataset/fake\breakfast_burrito\2297748.jpg,0
dataset/fake\cannoli\544821.jpg,0
dataset/real\pancakes\69250.jpg,1
dataset/fake\filet_mignon\864215.jpg,0
dataset/real\strawberry_shortcake\967623.jpg,1
dataset/real\oysters\93643.jpg,1
dataset/real\chocolate_cake\3895991.jpg,1
dataset/real\tacos\874446.jpg,1
dataset/real\gnocchi\780369.jpg,1
dataset/fake\eggs_benedict\56601.jpg,0
dataset/fake\filet_mignon\91549.jpg,0
dataset/real\club_sandwich\888930.jpg,1
dataset/real\omelette\812508.jpg,1
dataset/real\peking_duck\70566.jpg,1
dataset/fake\churros\915843.jpg,0
dataset/real\deviled_eggs\7018.jpg,1
dataset/real\chocolate_cake\3155200.jpg,1
dataset/real\mussels\60812.jpg,1
